track_id,artist,album,track,album_track_seq,track_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6o22EesPMmOdfjNlgOTGUZ,3 Of Hearts,3 Of Hearts,Love Is Enough,1,2001-07-23,0.574,0.813,6,-5.138,1,0.0277,0.181,1.42e-06,0.115,0.566,101.745,211720,4
7h1cVQH8y1aBgxLd6Etzti,8 Ball Aitken,Southern Hemisphere,I'm Going to Jail,1,2013,0.535,0.761,7,-4.701,1,0.0356,0.00602,0.000189,0.267,0.454,121.026,197674,4
3QfhuE99MWXGy0xm2fSd5P,The Abrams Brothers,European World Of Bluegrass 2006,City of New Orleans,23,2006-01-01,0.568,0.435,4,-11.872,1,0.0344,0.604,0.00536,0.953,0.641,90.64,319333,4
2uX5f3x2cObov0iDAPln4o,Alabama,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,Song of the South,12,1980,0.486,0.633,9,-8.414,1,0.0365,0.176,0.0,0.312,0.669,162.158,190800,4
5a954MeyrJYNtkWNLCg3ho,Harley Allen,"O Brother, Where Art Thou? (Music From The Motion Picture / Deluxe Edition)",In The Jailhouse Now,14,2000-12-05,0.533,0.361,4,-14.213,1,0.0373,0.774,0.0,0.109,0.817,163.623,185400,4
5cfYurP1XKldMBtvBBJiTs,The Allman Brothers Band,Dreams,Ramblin' Man,7,1989-06-20,0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,288507,4
6qsIvR5nOciPp7ci0M3NNj,Warren Haynes,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,Will The Circle Be Unbroken - Live,26,2014-01-01,0.303,0.741,7,-7.833,1,0.0461,0.2,6.88e-05,0.909,0.312,128.001,538760,4
1m6sUQvdi5Rmo5grzATOgW,Tommy Alverson,Me on the Jukebox,Una Mas Cerveza,9,2007-10-02,0.693,0.758,7,-7.114,1,0.0267,0.178,0.000546,0.099,0.957,134.929,352587,4
4OF4smGwPNU9Th6lQfzjuU,Dave Alvin,King Of California,King Of California,1,1994-01-01,0.442,0.558,3,-12.434,1,0.0334,0.668,0.00615,0.0939,0.635,133.432,291760,4
1oRvLqwJowH9JU0uO1iVzA,Amazing Rhythm Aces,Stacked Deck (Remastered),Third Rate Romance - Remastered,1,1975,0.825,0.532,9,-10.169,1,0.0341,0.714,0.000312,0.195,0.778,116.207,201827,4
5Ww9fFrQFXosupfFtk7Lj9,American Young,Some Girl,Some Girl,1,2020-01-09,0.56,0.764,9,-5.628,0,0.0331,0.0194,0.0,0.124,0.507,149.931,208653,4
4se0HsO71b7qmqAkRuwWSh,Sean Hogan,It's Christmas Time,It's Christmas Time,1,2004-11-23,0.631,0.63,6,-6.629,1,0.0284,0.376,3.16e-06,0.117,0.442,117.953,269453,4
11fWGsqcshwU8ZZSes3Ybu,Al Anderson,Al Anderson,Honky Tonkin',6,1972,0.747,0.0891,4,-15.31,1,0.0549,0.516,0.0,0.147,0.758,169.553,114600,4
1WDAAA3fMefVXbG0k19AJo,Brent Anderson,Amy's Song,Amy's Song,1,2011-10-02,0.563,0.706,2,-5.069,1,0.028,0.00443,0.000182,0.107,0.371,137.015,258560,4
2uJcLlydqLdGiiABFa4KfN,Coffey Anderson,Boots and Jeans,Mr Red White and Blue,6,2016-05-20,0.502,0.743,0,-5.789,1,0.0371,0.141,5.93e-06,0.251,0.329,156.038,207987,4
7HVjkTivVfCbbgC76A9PeN,Sharon Anderson,Bringing It Home,Tennessee Moon,10,1995-01-01,0.6,0.416,8,-12.742,1,0.0285,0.23,0.0,0.205,0.544,115.502,199915,4
71l6dkMk6FSKcL4LcC8hzG,Courtney Marie Andrews,May Your Kindness Remain,May Your Kindness Remain,1,2018-03-23,0.265,0.254,2,-11.635,1,0.0337,0.889,0.000128,0.11,0.244,92.617,234307,3
7oC1Lo7hqhpxIU8d5iH6cc,Michaela Anne,Desert Dove,Desert Dove,6,2019-09-27,0.592,0.419,2,-9.441,1,0.0296,0.349,0.00102,0.0896,0.37,119.868,281628,4
2hlCa7MQD9mCkv84e2C7t5,Ashley Arrison,Hearts On Parade,Serenade,3,2010-07-01,0.466,0.352,1,-10.384,0,0.028,0.759,0.000564,0.0949,0.0868,140.003,252848,4
53DYX4ai8GYPq1yPA1o4EP,Asleep At The Wheel,The Very Best of Asleep at the Wheel,The Letter (That Johnny Walker Read),1,2004-04-04,0.537,0.524,1,-7.573,0,0.0513,0.16,7.33e-06,0.0846,0.55,121.973,230893,4
3MwUf8hMW3AoHApSEOk32q,Audrey Auld Mezera,Lost Men and Angry Girls,Morphine,2,2006-08-21,0.667,0.286,0,-10.228,1,0.0258,0.685,0.00419,0.105,0.371,89.688,278560,4
4sUSJHR1y85TY4SNhF8aRa,Autumn Hill,It Ain't Christmas,It Ain't Christmas,1,2013-11-19,0.538,0.656,10,-5.873,1,0.0347,0.0161,0.0,0.193,0.364,89.916,182773,4
563AQ76ZfmPyUJeL399Uiy,The Bacon Brothers,Play!,Play!,1,2019-06-28,0.843,0.68,10,-5.743,0,0.0735,0.262,6.42e-06,0.0824,0.89,107.035,191720,4
1FipIh4nPa9zKMspunsj7M,Baillie & The Boys,Turn the Tide,(Wish I Had A) Heart of Stone,4,1988-12-01,0.802,0.355,2,-14.587,0,0.0311,0.444,2.51e-06,0.319,0.67,119.172,258627,4
28o9xWhJmUWFO9VVg4bpvE,Rachel Baiman,Shame,I Could've Been Your Lover Too,2,2017-06-02,0.784,0.213,11,-10.78,0,0.0422,0.925,3.48e-05,0.393,0.339,135.854,189627,4
4Px5YO3pRfrswEkVWxXhz8,Rob Baird,Wrong Side of the River,Run of Good Luck,4,2016-05-13,0.543,0.166,6,-12.921,1,0.0347,0.7,2.86e-06,0.105,0.3,130.018,225400,4
54nHyer1l3FIkSs4HTchTM,Baker & Myers,Baker And Myers,Years From Here,8,1995-10-10,0.594,0.338,9,-10.61,1,0.0242,0.469,0.0,0.104,0.275,75.434,209133,4
