track_id,artist,album,track,album_track_seq
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,everything i wanted,1
41L3O37CECZt3N7ziG2z7l,Justin Bieber,Yummy,Yummy,1
2XU0oxnq2qxCpomAAuJY8K,Tones and I,Dance Monkey (Stripped Back) / Dance Monkey,Dance Monkey,2
6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,Don't Start Now,1
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,4
4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,No.6 Collaborations Project,South of the Border (feat. Camila Cabello & Cardi B),2
0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,Blinding Lights,1
6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,Lover,You Need To Calm Down,14
7FIWs0pqAYbP91WWM0vlTQ,Eminem,Music To Be Murdered By,Godzilla (feat. Juice WRLD),7
0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,Please Excuse Me For Being Antisocial,The Box,2
21jGcNKet2qwijlDFuPiPb,Post Malone,Hollywood's Bleeding,Circles,6
6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),1
2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Memories,1
3yOlyBJuViE2YSGn3nVE1K,Camila Cabello,Romance,My Oh My (feat. DaBaby),4
3jjujdWJ72nww5eGnfs2E7,Harry Styles,Fine Line,Adore You,3
6L89mwZXSOwYl76YXfX13s,Green Day,Dookie,Basket Case,7
2ksOAxtIxY8yElEWw8RhgK,Anuel AA,China,China,1
4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,Rare,Lose You To Love Me,4
5stPVcRqb4qixbafP9e8lt,Dalex,Hola (Remix),Hola - Remix,1
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),lovely (with Khalid),1
75JFxkI2RXiU7L9VXzMkle,Coldplay,A Rush of Blood to the Head,The Scientist,4
7lidXGPXPYLNThITAOTlkK,Halsey,Manic,You should be sad,4
5DxXgozhkPLgrbKFY91w0c,Bad Bunny,Vete,Vete,1
7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,Tusa,1
7sQKy5vlPQllr0k9IjYJv3,Dimelo Flow,Sigues Con El,Sigues Con El,1
7tFiyTwD0nx5a1eklYtX2J,Queen,A Night At The Opera (Deluxe Remastered Version),Bohemian Rhapsody - 2011 Mix,11
7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,Tusa,1
2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,A Star Is Born Soundtrack,Shallow,12
6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Shawn Mendes (Deluxe),Señorita,1
6K5BsR04ijf3FHNzjbaagD,Myke Towers,Si Se da Remix,Si Se Da - Remix,1
6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),1
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,1
6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,KIRK,BOP,3
5yY9lUy8nbvjM1Uyo1Uqoc,Future,Life Is Good (feat. Drake),Life Is Good (feat. Drake),1
696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,ROXANNE,1
4wNIkl5XGiAACjFBlDWuSd,Jonas Brothers,What A Man Gotta Do,What A Man Gotta Do,1
5yY9lUy8nbvjM1Uyo1Uqoc,Future,Life Is Good (feat. Drake),Life Is Good (feat. Drake),1
4TnjEaWOeW0eKTKIEvJyCa,Trevor Daniel,Falling,Falling,1
2ksOAxtIxY8yElEWw8RhgK,Anuel AA,China,China,1
4kflIGfjdZJW4ot2ioixTB,Adele,21,Someone Like You,11
5GyyPRvEwdI4wJSUbzxHQv,Maes,Les derniers salopards,Blanche,5
6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),1
7CHi4DtfK4heMlQaudCuHK,MEDUZA,Lose Control,Lose Control,1
5Xhqh4lwJPtMUTsdBztN1a,Shakira,Me Gusta,Me Gusta,1
40mjsnRjCpycdUw3xhS20g,JACKBOYS,JACKBOYS,GATTI,7
2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ride It,1
7fPuWrlpwDcHm5aHCH5D9t,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,1
3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Hot Pink,Say So,5
1gZ7i4qxXkHZb1r6eioaAP,The Pussycat Dolls,PCD,Don't Cha,1
6qAzAmPBUpGrk7XADZHR5k,iKON,Return,LOVE SCENARIO,1
2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,A Star Is Born Soundtrack,Shallow,12
0bMbDctzMmTyK2j74j3nF3,Alan Walker,"Alone, Pt. II","Alone, Pt. II",1
0alp0O9d7KTtAF1QnBqqiv,LOLO,PUB G (feat. Branco & Larry 44),PUB G (feat. Branco & Larry 44),1
7CHi4DtfK4heMlQaudCuHK,MEDUZA,Lose Control,Lose Control,1
4zdQmfTLWgGd5mAX4MUIaX,ARASHI,Turning Up,Turning Up,1
6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,"thank u, next",7 rings,10
5WvAo7DNuPRmk4APhdPzi8,DJ Khaled,No Brainer,No Brainer,1
2YpeDb67231RjR0MgVLzsG,Lil Nas X,7 EP,Old Town Road - Remix,1
6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,Fantasias,Fantasias,1
4nVBt6MZDDP6tRVdQTgxJg,One Direction,Midnight Memories (Deluxe),Story of My Life,2
0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Evolve,Believer,4
2pWOMNQJW3g2zmGjP0Vkb0,Nicky Jam,Intimo,Whine Up,3
3jbT1Y5MoPwEIpZndDDwVq,Tainy,Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),1
6oJ6le65B3SEqPwMRNXWjY,Kygo,Higher Love,Higher Love,1
24NuEDgyRIljwSyY0lsr7b,BTS,Black Swan,Black Swan,1
4QPEwDdOMhY7rNS05mTyMR,Stormzy,Heavy Is The Head,Own It (feat. Ed Sheeran & Burna Boy),11
5fbP8TRnUYr4KwSc9nCzQD,Astin Kush,Young Ratchet Love,Habbit 4 Dabbin,14
49h5Aav6yn1o1ACGyovDdZ,Official HIGE DANdism,Traveler,Pretender,12
4DEY52zyUAQq4D5xeYUn4M,Artik & Asti,7 (Part 1),Грустный дэнс (feat. Артем Качер),2
5DqdesEfbRyOlSS3Tf6c29,Ali Gatie,YOU,It's You,1
1E8jmVFDwAWbDzsjjniKGO,Kabza De Small,The Return Of The Scorpion Kings,Lorch,4
0Vl4eICpXMjtiK0RhdaWov,Samra,Zu Ende,Zu Ende,1
4rJtUMlnhJzlzlnxyoc3tb,Gillian Welch,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",I'll Fly Away,9
0e8fTfa0ZKCwOi2UdULooT,Major Lazer,Know No Better,Particula,3
7CHi4DtfK4heMlQaudCuHK,MEDUZA,Lose Control,Lose Control,1
4R8BJggjosTswLxtkw8V7P,Jhay Cortez,Famouz,No Me Conoce - Remix,2
07Oz5StQ7GRoygNLaXs2pd,Lizzo,Good as Hell (feat. Ariana Grande) [Remix],Good as Hell (feat. Ariana Grande) - Remix,1
1RqNAiL2toZ59HTjQbFLfM,Reynmen,RnBesk,Leila,2
0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,24K Magic,That's What I Like,4
6LcauUZjF1eXQrgqMUecHX,Tyga,Ayy Macarena,Ayy Macarena,1
0bMbDctzMmTyK2j74j3nF3,Alan Walker,"Alone, Pt. II","Alone, Pt. II",1
4wel6DQu0dMVBRVn2ZTPoy,King Gnu,Ceremony,Hakujitsu,5
1ndyl3wJCFs872XZ3ztPk6,Justin Quiles,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",1
6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,How Do You Sleep?,1
5stPVcRqb4qixbafP9e8lt,Dalex,Hola (Remix),Hola - Remix,1
5stPVcRqb4qixbafP9e8lt,Dalex,Hola (Remix),Hola - Remix,1
5uHl2eYaITSX6xEX8bmaXy,EVERGLOW,HUSH,Adios,2
4NtUY5IGzHCaqfZemmAu56,ABBA,Arrival,Dancing Queen,2
7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,"Yo x Ti, Tu x Mi","Yo x Ti, Tu x Mi",1
7sQKy5vlPQllr0k9IjYJv3,Dimelo Flow,Sigues Con El,Sigues Con El,1
4jB8td98pbRVvTqtQ7I3MI,Mister V,MVP,Jamais,2
6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,Fantasias,Fantasias,1
2koVA3AxbVoINR7pd8GRUX,Die drei !!!,065/Heuler in Not,065 - Heuler in Not - Teil 02,3
1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,Dusk Till Dawn (Radio Edit),Dusk Till Dawn - Radio Edit,1
2YlZnw2ikdb837oKMKjBkW,Meghan Trainor,Title (Deluxe),Like I'm Gonna Lose You (feat. John Legend),6
0rTV5WefWd1J3OwIheTzxM,Khalid,Talk,Talk,1
1DWZUa5Mzf2BwzpHtgbHPY,Mac Miller,Circles,Good News,4
6gi6y1xwmVszDWkUqab1qw,JACKBOYS,JACKBOYS,OUT WEST (feat. Young Thug),5
5Id5B3dxJZhPcV9GzgYZZe,Rich Music LTD,The Academy,Quizas,1
7fj3zpxuqs1Av6uZKikWxj,群星 - 鼠来宝 笑笑力量大,鼠来宝 笑笑力量大,笑笑力量大,1
3cphb8kdsjElYR7r5icK3H,Niall Horan,Nice To Meet Ya,Nice To Meet Ya,1
37zdqI4r1gswIzczSBkRon,Lunay,Épico,Aventura,2
3QzAOrNlsabgbMwlZt7TAY,Mustard,Perfect Ten,Ballin' (with Roddy Ricch),9
4h8VwCb1MTGoLKueQ1WgbD,Avicii,True,Wake Me Up,1
2kxWRS8ZcJZ51Dik5uKGK6,J Hus,Big Conspiracy,Play Play (feat. Burna Boy),5
3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,"Ao Vivo no Ibirapuera, Vol. 1",Liberdade Provisória - Ao Vivo,2
598yNsG1JFrGd4n2kMoz7F,Lil Baby,Woah,Woah,1
6hw1Sy9wZ8UCxYGdpKrU6M,Apache 207,Platte,Roller,2
7rBP4bLjMLNkix1nGHjheP,Angèle,Brol La Suite,Oui ou non,2
1bRO28yzxgO3y3UmNR29TZ,Lil Wayne,Funeral,"I Do It (ft. Big Sean, Lil Baby)",4
0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,Instagram,Instagram,1
4QPEwDdOMhY7rNS05mTyMR,Stormzy,Heavy Is The Head,Own It (feat. Ed Sheeran & Burna Boy),11
4gMgiXfqyzZLMhsksGmbQV,Pink Floyd,The Wall,"Another Brick in the Wall, Pt. 2",5
7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,hot girl bummer,1
2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,Championships,Going Bad (feat. Drake),9
5anCkDvJ17aznvK5TED5uo,Avenged Sevenfold,Hail to the King,Hail to the King,2
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,1
4JehYebiI9JE8sR8MisGVb,Beyoncé,I AM...SASHA FIERCE,Halo,2
0gCNs3jCCDhObAK0MRghtv,Drax Project,Drax Project,Catching Feelings (feat. SIX60),11
1iSqfoUFnQwV0QW1EfUit8,YNW Melly,Melly vs. Melvin,Suicidal,2
6zegtH6XXd2PDPLvy1Y0n2,Ariana Grande,Charlie's Angels (Original Motion Picture Soundtrack),Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3
3iQOfefMGDVDwo8dZoco8T,Feid,Porfa,Porfa,1
0MD81YyV6i8t019tqmjq2D,Maan,Onverstaanbaar,Ze Huilt Maar Ze Lacht,3
