track_id,artist,album,track,album_track_seq,track_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5HQEmiV2lKnSO6qa2fsR7x,10cc,The Original Soundtrack,I'm Not In Love,2,1975,0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,366640,4
4AQzk2yNWKs6sYhZi6NzVN,The 1975,Me & You Together Song,Me & You Together Song,1,1/16/2020,0.272,0.763,9,-5.861,1,0.0348,1.65E-06,0.00157,0.299,0.394,107.388,209501,4
3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Blurryface,Stressed Out,2,5/15/2015,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,202333,4
6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,The Better Life,Kryptonite,1,1/1/2000,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12E-05,0.168,0.543,99.01,233933,4
0lP4HYLmvowOKdsQ7CVkuq,Thirty Seconds To Mars,A Beautiful Lie,The Kill,3,1/1/2005,0.309,0.912,4,-3.881,0,0.0646,0.0014,0.000271,0.582,0.302,183.035,231533,3
6Fe3Flc9SjE03pqwD6PVQl,311,From Chaos,Amber,10,6/19/2001,0.663,0.697,0,-9.442,1,0.0473,0.156,0.0224,0.0663,0.744,166.001,206973,4
3jYRpwbctfqB77uU7T7K3U,38 Special,Special Forces,Caught Up In You,1,1/1/1982,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,279333,4
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,1,6/15/2018,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
2wUVGLUavySjAtbF7rpVfh,7th Order,The Initiate's Journey: 2003–13,Lazarus,2,6/1/2015,0.494,0.573,4,-7.281,0,0.0284,0.386,0.00142,0.137,0.296,140.043,292400,4
4PEeZ2U4UfP2Jo8EtIOjus,? & The Mysterians,96 Tears,96 Tears,12,1/1/1966,0.65,0.562,7,-5.965,1,0.0345,0.0624,3.21E-05,0.076,0.882,123.674,176867,4
4NtUY5IGzHCaqfZemmAu56,ABBA,Arrival,Dancing Queen,2,1976,0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,230693,4
2zYzyRzz6pRmhPzyfMEC8s,AC/DC,Highway to Hell,Highway to Hell,1,7/27/1979,0.573,0.913,6,-4.793,0,0.132,0.0591,0.00173,0.156,0.422,115.715,208400,4
760xFXFj5Fksa3jawSCn5g,Adam Ant,Friend Or Foe,Goody Two Shoes,7,1982,0.624,0.991,1,-3.467,0,0.135,0.0289,0.0107,0.0477,0.535,95.472,209213,4
3VUn9dg1oktCgUOtcus0T5,Adam Faith,A's B's & EP's,Lonely Pup (In a Christmas Shop),12,12/8/2003,0.737,0.345,3,-9.043,1,0.0459,0.722,0,0.12,0.853,74.648,107840,4
2rDwdvBma1O1eLzo29p2cr,Adam Lambert,For Your Entertainment,Whataya Want from Me,3,11/20/2009,0.44,0.683,11,-4.732,0,0.0489,0.00706,0,0.0593,0.445,185.948,227320,4
0TkJIyL69RAUIbNwGub6uR,AJR,The Click (Deluxe Edition),Burn The House Down,14,9/21/2018,0.454,0.66,0,-4.357,1,0.168,0.0364,0,0.181,0.568,184.353,212374,4
5anCkDvJ17aznvK5TED5uo,Avenged Sevenfold,Hail to the King,Hail to the King,2,8/23/2013,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907,4
5xEM5hIgJ1jjgcEBfpkt2F,Avril Lavigne,Let Go,Complicated,2,6/4/2002,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74E-06,0.3,0.427,77.987,244507,4
7rdGrVIoqwPWOULauvglio,Adam Levine,Lost Stars,Lost Stars,1,6/23/2014,0.498,0.583,0,-4.762,1,0.0274,0.105,0,0.0698,0.4,82.071,267933,4
5MxNLUsfh7uzROypsoO5qe,Aerosmith,Aerosmith,Dream On,3,1/5/1973,0.307,0.433,1,-10.057,1,0.029,0.388,9.08E-05,0.332,0.224,160.9,266960,4
2WfaOiMkCvy7F5fcp2zZ8L,a-ha,Hunting High and Low,Take on Me,1,6/1/1985,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4
2kQuhkFX7uSVepCD3h29g5,Akon,Konvicted,Smack That,3,1/1/2006,0.939,0.742,5,-5.171,0,0.0467,0.321,0,0.107,0.924,118.978,212360,4
4MnI07LzpYDbvMFpJbjfoa,Albert Lee,Heartbreak Hill,Born To Run,4,2003,0.621,0.807,0,-6.309,1,0.0271,0.604,0.128,0.0851,0.849,78.081,415987,4
3iDGKn7VAFqTBb6LT7oL4s,Alex Chilton,Like Flies On Sherbert,Hey! Little Child,3,2005,0.889,0.489,9,-11.923,1,0.0546,0.0117,0.173,0.0886,0.83,117.348,223467,4
3frLIzlUj2yJb8WBn08Dny,1 Sound of Alabama,Perfect Man,Perfect Man,1,11/25/2012,0.679,0.673,9,-10.054,1,0.0276,0.0452,0,0.3,0.761,139.949,209190,4
5nFpF7jUbVnnDMXIu65aoh,Ambrosia,Ambrosia,Holdin' on to Yesterday,3,1975,0.377,0.677,6,-6.784,0,0.0929,0.367,0.000809,0.0937,0.63,146.126,259933,4
5z6xHjCZr7a7AIcy8sPBKy,Alien Ant Farm,Anthology,Smooth Criminal,12,1/1/2001,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267,4
6ihL9TjfRjadfEePzXXyVF,The All-American Rejects,When The World Comes Down,Gives You Hell,4,1/1/2008,0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,213107,4
5cfYurP1XKldMBtvBBJiTs,The Allman Brothers Band,Dreams,Ramblin' Man,7,6/20/1989,0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,288507,4
0mg09mcFaxXDkldCXo0jyE,Also Eden,It's Kind of You to Ask,Skimming Stones,3,1/23/2011,0.44,0.484,11,-8.859,0,0.0302,0.338,7.99E-05,0.391,0.254,139.987,419467,3
3UULkHdmLDqBDPmBYltoRE,Alter Bridge,One Day Remains,Metalingus,5,8/10/2004,0.496,0.981,8,-3.268,1,0.108,9.33E-06,0,0.0958,0.163,109.905,259960,4
54eZmuggBFJbV7k248bTTt,America,America,A Horse with No Name,5,1972,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,252240,4
7DTTn7aeCENliHGmsWkMFo,Anarbor,Burnout (Deluxe Version),18,3,6/4/2013,0.724,0.852,11,-2.779,1,0.0998,0.0603,0,0.0805,0.88,98.056,157360,4
5EdlwzcgIAYs2HGvOnczPN,Andy Gibb,Flowing Rivers,I Just Want To Be Your Everything,1,9/9/1977,0.651,0.648,9,-7.44,1,0.0346,0.167,1.70E-05,0.192,0.868,97.017,225667,4
1GAFVs4X7fJS6awEPIl3y9,Angelica Hale,Feel the Magic,Fight Song,5,10/18/2019,0.583,0.448,6,-8.474,1,0.0389,0.504,0,0.102,0.29,77.61,228284,4
2YZrjrLRMfGdyue73N6BLY,Angels & Airwaves,Kiss & Tell,Kiss & Tell,1,8/30/2019,0.441,0.872,2,-4.168,1,0.0551,0.00365,0,0.0819,0.258,170.015,248166,4
7BY005dacJkbO6EPiOh2wb,The Animals,The Animals,House Of The Rising Sun,1,1/1/1964,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,271280,3
3joeQA8GGsVOf2lfgsGAtq,The Archies,The Archies: Greatest Hits,"Sugar, Sugar",1,2/15/1969,0.78,0.524,2,-12.072,1,0.0321,0.668,6.47E-05,0.293,0.953,124.181,163716,4
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,AM,Do I Wanna Know?,1,9/9/2013,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
3vfIv3pvYlLOa0wKIEuqFn,Argent,All Together Now,Hold Your Head Up,1,1971,0.502,0.488,7,-12.265,1,0.0261,0.3,0.128,0.319,0.74,89.279,377560,4
3Jy0dWV5AnnfyTvHK6UWof,Art Garfunkel,Fate For Breakfast,Bright Eyes,6,3/15/1979,0.38,0.21,7,-15.603,1,0.0319,0.745,0.45,0.0829,0.207,112.51,238600,4
7yXibbAYi4to5oQTeO738f,Ashlee Simpson,Autobiography,Pieces Of Me,2,1/1/2004,0.532,0.807,2,-4.301,1,0.057,0.0584,0,0.114,0.759,87.183,217440,4
3YuaBvuZqcwN3CEAyyoaei,Audioslave,Audioslave,Like a Stone,5,11/17/2002,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,293960,4
7CEV9VwA8XO9wwxTXgYKvY,The Avett Brothers,I And Love And You,I And Love And You,1,1/1/2009,0.424,0.264,2,-9.984,1,0.0298,0.831,7.08E-05,0.0763,0.169,139.593,300840,4
5N7d8uxMeuO4HdncbkuhSB,AWOLNATION,Megalithic Symphony,Sail,10,3/15/2011,0.832,0.435,1,-9.598,1,0.0604,0.479,0.553,0.0952,0.279,119.057,259093,4
7Bs7E2RtJh6Zo1ngWIpm3s,Steven Adler,American '80s Hair Metal,Nice Boys,8,1/22/2008,0.305,0.988,8,-4.819,1,0.142,0.000268,0.398,0.177,0.283,128.004,162013,4
0pSBuHjILhNEo55xK1zrRt,Ayo & Teo,Rolex,Rolex,1,3/15/2017,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,238587,4
5z4808n9RA4vgXxlYxsCql,Ayub Bachchu,Rupali Guitar,Cholo Bodle Jay,2,12/6/2018,0.416,0.772,0,-5.271,1,0.0402,0.882,0,0.0627,0.401,150.828,331640,4
0HOrDVS349XFcpCYsO2hAP,Bachman-Turner Overdrive,Not Fragile,You Ain't Seen Nothing Yet,4,1974,0.475,0.439,11,-15.039,0,0.0427,0.000146,0.000277,0.223,0.76,118.392,234867,4
47BBI51FKFwOMlIiX6m8ya,Backstreet Boys,Millennium,I Want It That Way,2,5/18/1999,0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,213307,4
3KPwt1LBpt1jVSHz8GXERo,Bad Company,Straight Shooter,Feel Like Makin' Love - 2015 Remaster,2,1975,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,4
6S3JlDAGk3uu3NtZbPnuhS,Badfinger,Straight Up (Remastered 2010 / Deluxe Edition),Baby Blue - Remastered 2010,2,12/13/1971,0.623,0.877,11,-7.788,1,0.066,0.0186,0.0144,0.0729,0.517,124.432,217347,4
5TZn3LQSWwVPnBlPgFKb54,Bad Religion,Recipe For Hate,American Jesus,3,9/21/1993,0.392,0.948,9,-9.927,0,0.0382,0.00685,0,0.327,0.628,181.712,197533,4
5sCvipEhpAhVhu3K6kzm1P,The Band CAMINO,My Thoughts on You,14-Feb,1,4/1/2016,0.607,0.708,9,-7.428,1,0.0539,0.377,0,0.294,0.551,97.005,163690,4
0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas?,Do They Know It's Christmas? - 1984 Version,2,1/1/2004,0.599,0.642,0,-6.936,1,0.0363,0.164,3.33E-05,0.0992,0.349,115.412,222533,4
4u26EevCNXMhlvE1xFBJwX,The Band Perry,The Band Perry,If I Die Young,3,1/1/2010,0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,130.739,222773,4
4xiaE15ARCs5CVPA6J8gmC,The Bangles,Everything,Eternal Flame,5,10/18/1988,0.521,0.233,7,-13.683,1,0.0254,0.64,0,0.245,0.409,78.927,235667,3
1Mf27cnAF1Q6Ko83XTM5d1,Barns Courtney,The Attractions Of Youth,Glitter & Gold,2,9/29/2017,0.487,0.625,8,-5.112,1,0.0401,0.374,0,0.226,0.351,170.397,176093,4
2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,Happier,1,8/17/2018,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
7wC5vOh3fQibFYWjCIotKw,Bay City Rollers,Once Upon A Star,Bye Bye Baby,1,1975,0.627,0.497,7,-12.283,1,0.0271,0.387,0,0.05,0.688,129.531,170360,4
3cg0dJfrQB66Qf2YthPb6G,B.B. King,Deuces Wild,The Thrill Is Gone,2,11/4/1997,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,301133,4
3SdTKo2uVsxFblQjpScoHy,Ben E. King,Don't Play That Song (Mono),Stand by Me,7,8/20/1962,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07E-06,0.0707,0.605,118.068,180056,4
5e50NiIlOc2YJIftHzoehd,Becky G,MALA SANTA,MALA SANTA,1,10/18/2019,0.851,0.701,9,-3.649,1,0.0396,0.311,0.000211,0.163,0.527,98.039,173827,4
