track_id,artist,album,track,album_track_seq,track_release_date
5HQEmiV2lKnSO6qa2fsR7x,10cc,The Original Soundtrack,I'm Not In Love,2,1975
4AQzk2yNWKs6sYhZi6NzVN,The 1975,Me & You Together Song,Me & You Together Song,1,2020-01-16
3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Blurryface,Stressed Out,2,2015-05-15
6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,The Better Life,Kryptonite,1,2000
0lP4HYLmvowOKdsQ7CVkuq,Thirty Seconds To Mars,A Beautiful Lie,The Kill,3,2005-01-01
6Fe3Flc9SjE03pqwD6PVQl,311,From Chaos,Amber,10,2001-06-19
3jYRpwbctfqB77uU7T7K3U,38 Special,Special Forces,Caught Up In You,1,1982-01-01
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,1,2018-06-15
2wUVGLUavySjAtbF7rpVfh,7th Order,The Initiate's Journey: 2003–13,Lazarus,2,2015-06-01
4PEeZ2U4UfP2Jo8EtIOjus,? & The Mysterians,96 Tears,96 Tears,12,1966
4NtUY5IGzHCaqfZemmAu56,ABBA,Arrival,Dancing Queen,2,1976
2zYzyRzz6pRmhPzyfMEC8s,AC/DC,Highway to Hell,Highway to Hell,1,1979-07-27
760xFXFj5Fksa3jawSCn5g,Adam Ant,Friend Or Foe,Goody Two Shoes,7,1982
3VUn9dg1oktCgUOtcus0T5,Adam Faith,A's B's & EP's,Lonely Pup (In a Christmas Shop),12,2003-12-08
2rDwdvBma1O1eLzo29p2cr,Adam Lambert,For Your Entertainment,Whataya Want from Me,3,2009-11-20
0TkJIyL69RAUIbNwGub6uR,AJR,The Click (Deluxe Edition),Burn The House Down,14,2018-09-21
5anCkDvJ17aznvK5TED5uo,Avenged Sevenfold,Hail to the King,Hail to the King,2,2013-08-23
5xEM5hIgJ1jjgcEBfpkt2F,Avril Lavigne,Let Go,Complicated,2,2002-06-04
7rdGrVIoqwPWOULauvglio,Adam Levine,Lost Stars,Lost Stars,1,2014-06-23
5MxNLUsfh7uzROypsoO5qe,Aerosmith,Aerosmith,Dream On,3,1973-01-05
